,precos,bairros,tamanhos,quartos,banheiros,vagas
1983,R$ 300.000,"Parque Residencial Salerno (Nova Veneza), Sumaré",125 m² tot.,3 quartos,1 banheiro,2 vagas
1984,R$ 850.000,"Vila Nova São José, Campinas",220 m² tot.,3 quartos,5 ban.,3 vagas
1985,R$ 500.000,"Baeta Neves, São Bernardo do Campo",282 m² tot.,2 quartos,2 ban.,1 vaga
1986,R$ 850.000,"Baeta Neves, São Bernardo do Campo",232 m² tot.,3 quartos,3 ban.,2 vagas
1987,R$ 795.000,"Jardim do Lago, Atibaia",180 m² tot.,3 quartos,3 ban.,2 vagas
1988,R$ 720.000,"Baeta Neves, São Bernardo do Campo",154 m² tot.,3 quartos,,3 vagas
1989,R$ 842.000,"Baeta Neves, São Bernardo do Campo",150 m² tot.,2 quartos,2 ban.,3 vagas
1990,R$ 720.000,"Jardim do Lago, Atibaia",189 m² tot.,3 quartos,3 ban.,1 vaga
1991,R$ 219.000,"Canudos, Novo Hamburgo",376 m² tot.,3 quartos,1 banheiro,2 vagas
1992,R$ 450.000,"Canudos, Novo Hamburgo",324 m² tot.,3 quartos,2 ban.,2 vagas
1993,R$ 450.000,"Parque Residencial Salerno (Nova Veneza), Sumaré",250 m² tot.,2 quartos,1 banheiro,4 vagas
1994,R$ 1.300.000,"Baeta Neves, São Bernardo do Campo",226 m² tot.,4 quartos,5 ban.,5 vagas
1995,R$ 379.000,"Parque da Matriz, Cachoeirinha",200 m² tot.,3 quartos,1 banheiro,2 vagas
1996,R$ 250.000,"Itanhaém, São Paulo",330 m² tot.,3 quartos,3 ban.,5 vagas
1997,R$ 250.000,"Itanhaém, São Paulo",330 m² tot.,3 quartos,1 banheiro,5 vagas
1998,R$ 499.000,"Graça, Belo Horizonte",180 m² tot.,,,2 vagas
1999,R$ 795.000,"Jardim do Lago, Atibaia",190 m² tot.,3 quartos,4 ban.,2 vagas
2000,R$ 860.000,"Jardim do Lago, Atibaia",188 m² tot.,3 quartos,4 ban.,2 vagas
2001,R$ 350.000,"Conjunto Habitacional Engenheiro Otávio Rasi, Bauru",200 m² tot.,4 quartos,2 ban.,3 vagas
2002,R$ 199.160,"Núcleo Habitacional Vereador Edson Francisco da Silva, Bauru",200 m² tot.,3 quartos,1 banheiro,2 vagas
2003,R$ 1.125.000,"Vila São João da Boa Vista, Bauru",450 m² tot.,,2 ban.,3 vagas
2004,R$ 489.330,"Vila São João do Ipiranga, Bauru",182 m² tot.,3 quartos,3 ban.,2 vagas
2005,R$ 599.740,"Vila São João da Boa Vista, Bauru",200 m² tot.,3 quartos,3 ban.,8 vagas
2006,R$ 204.690,"Núcleo Habitacional Vereador Edson Francisco da Silva, Bauru",214 m² tot.,2 quartos,2 ban.,2 vagas
2007,R$ 460.000,"Conjunto Habitacional Isaura Pitta Garms, Bauru",172 m² tot.,3 quartos,2 ban.,
2008,R$ 349.760,"Conjunto Habitacional Presidente Eurico Gaspar Dutra, Bauru",132 m² tot.,3 quartos,2 ban.,2 vagas
2009,R$ 649.600,"Vila São João da Boa Vista, Bauru",310 m² tot.,3 quartos,3 ban.,4 vagas
2010,R$ 598.560,"Conjunto Habitacional Presidente Eurico Gaspar Dutra, Bauru",360 m² tot.,3 quartos,4 ban.,3 vagas
2011,R$ 320.000,"Vila São João da Boa Vista, Bauru",280 m² tot.,2 quartos,1 banheiro,1 vaga
2012,R$ 229.890,"Conjunto Habitacional Presidente Eurico Gaspar Dutra, Bauru",200 m² tot.,2 quartos,1 banheiro,2 vagas
2013,R$ 429.460,"Conjunto Habitacional Pastor Arlindo Lopes Viana, Bauru",226 m² tot.,3 quartos,2 ban.,2 vagas
2014,R$ 434.720,"Conjunto Habitacional Isaura Pitta Garms, Bauru",366 m² tot.,3 quartos,3 ban.,3 vagas
2015,R$ 798.780,"Vila São João da Boa Vista, Bauru",440 m² tot.,5 quartos,4 ban.,4 vagas
2016,R$ 399.130,"Vila São João da Boa Vista, Bauru",544 m² tot.,2 quartos,2 ban.,2 vagas
2017,R$ 279.480,"Núcleo Habitacional Vereador Edson Francisco da Silva, Bauru",230 m² tot.,3 quartos,1 banheiro,2 vagas
2018,R$ 368.940,"Conjunto Habitacional Isaura Pitta Garms, Bauru",127 m² tot.,2 quartos,1 banheiro,1 vaga
2019,R$ 570.000,"Vila São João da Boa Vista, Bauru",120 m² tot.,3 quartos,1 banheiro,1 vaga
2020,R$ 449.740,"Conjunto Habitacional Pastor Arlindo Lopes Viana, Bauru",208 m² tot.,3 quartos,2 ban.,2 vagas
2021,R$ 650.000,"Vila São João da Boa Vista, Bauru",400 m² tot.,3 quartos,2 ban.,2 vagas
2022,R$ 490.000,"Vila São João do Ipiranga, Bauru",233 m² tot.,4 quartos,4 ban.,2 vagas
2023,R$ 430.000,"Conjunto Habitacional Pastor Arlindo Lopes Viana, Bauru",227 m² tot.,3 quartos,2 ban.,2 vagas
2024,R$ 520.000,"Vila São João do Ipiranga, Bauru",182 m² tot.,2 quartos,2 ban.,
2025,R$ 249.000,"Parque Bauru, Bauru",126 m² tot.,3 quartos,1 banheiro,2 vagas
2026,R$ 229.000,"Parque Bauru, Bauru",180 m² tot.,2 quartos,1 banheiro,2 vagas
2027,R$ 300.000,"Parque Bauru, Bauru",144 m² tot.,2 quartos,2 ban.,2 vagas
2028,R$ 280.000,"Conjunto Habitacional Nossa Senhora Aparecida, Araçatuba",196 m² tot.,3 quartos,2 ban.,1 vaga
2029,R$ 170.000,"Conjunto Habitacional Nossa Senhora Aparecida, Araçatuba",178 m² tot.,3 quartos,2 ban.,2 vagas
2030,R$ 2.400.000,"Pacaembu, São Paulo",480 m² tot.,3 quartos,3 ban.,1 vaga
2031,R$ 3.100.000,"Pacaembu, São Paulo",360 m² tot.,3 quartos,2 ban.,2 vagas
2032,R$ 400.000,"Vila Nova São José, Campinas",320 m² tot.,3 quartos,2 ban.,
2033,R$ 450.000,"Canudos, Novo Hamburgo",324 m² tot.,3 quartos,2 ban.,2 vagas
2034,R$ 400.000,"Vila Nova São José, Campinas",320 m² tot.,3 quartos,3 ban.,3 vagas
2035,R$ 850.000,"Vila Nova São José, Campinas",315 m² tot.,3 quartos,5 ban.,3 vagas
2036,R$ 136.779,"Estância Santa Cruz, Peruíbe",60 m² tot.,2 quartos,1 banheiro,1 vaga
2037,R$ 170.000,"Conjunto Habitacional Nossa Senhora Aparecida, Araçatuba",178 m² tot.,3 quartos,2 ban.,2 vagas
2038,R$ 300.000,"Parque Residencial Salerno (Nova Veneza), Sumaré",250 m² tot.,2 quartos,2 ban.,3 vagas
2039,R$ 900.000,"Vila Nova São José, Campinas",298 m² tot.,4 quartos,3 ban.,3 vagas
2040,R$ 2.700.000,"Pacaembu, São Paulo",500 m² tot.,3 quartos,5 ban.,3 vagas
2041,R$ 2.400.000,"Pacaembu, São Paulo",480 m² tot.,3 quartos,3 ban.,1 vaga
2042,R$ 3.100.000,"Pacaembu, São Paulo",360 m² tot.,3 quartos,2 ban.,2 vagas
2043,R$ 3.499.000,"Pacaembu, São Paulo",408 m² tot.,3 quartos,5 ban.,2 vagas
2044,R$ 230.000,"Santa Cruz, Itanhaém",330 m² tot.,3 quartos,2 ban.,3 vagas
2045,R$ 900.000,"Vila Nova São José, Campinas",300 m² tot.,4 quartos,4 ban.,2 vagas
2046,R$ 900.000,"Vila Nova São José, Campinas",298 m² tot.,3 quartos,4 ban.,3 vagas
2047,R$ 400.000,"Vila Nova São José, Campinas",320 m² tot.,3 quartos,2 ban.,
2048,R$ 250.000,"Santa Cruz, Itanhaém",330 m² tot.,3 quartos,2 ban.,5 vagas
2049,R$ 3.600.000,"Pacaembu, São Paulo",326 m² tot.,4 quartos,4 ban.,4 vagas
2050,R$ 850.000,"Batistini, São Bernardo do Campo",232 m² tot.,3 quartos,3 ban.,2 vagas
2051,R$ 850.000,"Vila Nova São José, Campinas",298 m² tot.,3 quartos,3 ban.,3 vagas
2052,R$ 450.000,"Canudos, Novo Hamburgo",324 m² tot.,3 quartos,2 ban.,2 vagas
2053,R$ 219.000,"Canudos, Novo Hamburgo",376 m² tot.,3 quartos,1 banheiro,2 vagas
2054,R$ 850.000,"Jardim Proença, Campinas",315 m² tot.,3 quartos,4 ban.,2 vagas
2055,R$ 3.600.000,"Pacaembu, São Paulo",326 m² tot.,4 quartos,4 ban.,4 vagas
2056,R$ 3.600.000,"Pacaembu, São Paulo",326 m² tot.,4 quartos,4 ban.,4 vagas
2057,R$ 8.900.000,"Jardim Barueri, Barueri",1490 m² tot.,4 quartos,7 ban.,4 vagas
2058,R$ 700.000,"Vila Nova São José, Campinas",294 m² tot.,4 quartos,4 ban.,3 vagas
2059,R$ 250.000,"Santa Cruz, Itanhaém",330 m² tot.,3 quartos,1 banheiro,5 vagas
2060,R$ 400.000,"Vila Nova São José, Campinas",320 m² tot.,3 quartos,3 ban.,3 vagas
2061,R$ 2.000.000,"Vila Aeroporto Bauru, Bauru",690 m² tot.,4 quartos,4 ban.,4 vagas
2062,R$ 290.000,"Jardim Nova Bauru, Bauru",150 m² tot.,3 quartos,2 ban.,2 vagas
2063,R$ 890.000,"Vila Aeroporto Bauru, Bauru",292 m² tot.,3 quartos,2 ban.,4 vagas
2064,R$ 1.400.000,"Vila Aeroporto Bauru, Bauru",775 m² tot.,4 quartos,5 ban.,3 vagas
2065,R$ 1.200.000,"Vila Aeroporto Bauru, Bauru",343 m² tot.,5 quartos,6 ban.,4 vagas
2066,R$ 170.000,"Nova Itanhaém, Itanhaém",132 m² tot.,2 quartos,1 banheiro,2 vagas
2067,R$ 250.000,"Itanhaém, São Paulo",330 m² tot.,3 quartos,2 ban.,5 vagas
2068,R$ 120.383,"Bauru, São Paulo",160 m² tot.,2 quartos,1 banheiro,1 vaga
2069,R$ 1.700.000,"Centro, Bauru",393 m² tot.,3 quartos,,4 vagas
2070,R$ 1.200.000,"Bauru, São Paulo",300 m² tot.,3 quartos,5 ban.,4 vagas
2071,R$ 280.000,"Bauru, São Paulo",200 m² tot.,3 quartos,2 ban.,4 vagas
2072,R$ 2.350.000,"Bauru, São Paulo",620 m² tot.,3 quartos,5 ban.,6 vagas
2073,R$ 2.300.000,"Bauru, São Paulo",530 m² tot.,3 quartos,5 ban.,
2074,R$ 1.550.000,"Bauru, São Paulo",339 m² tot.,3 quartos,5 ban.,2 vagas
2075,R$ 405.000,"Centro, Bauru",265 m² tot.,7 quartos,2 ban.,2 vagas
2076,R$ 74.378,"Tangarás, Bauru",157 m² tot.,2 quartos,1 banheiro,
2077,R$ 380.000,"Tangarás, Bauru",470 m² tot.,3 quartos,1 banheiro,3 vagas
2078,R$ 310.000,"Tangarás, Bauru",100 m² tot.,2 quartos,1 banheiro,2 vagas
2079,R$ 400.000,"Madureira, Bauru",177 m² tot.,3 quartos,3 ban.,3 vagas
2080,R$ 275.000,"Centro, Bauru",130 m² tot.,3 quartos,2 ban.,
2081,R$ 220.000,"Bauru, São Paulo",150 m² tot.,2 quartos,1 banheiro,2 vagas
2082,R$ 340.000,"Tangarás, Bauru",116 m² tot.,3 quartos,2 ban.,2 vagas
2083,R$ 1.560.000,"Bauru, São Paulo",392 m² tot.,3 quartos,5 ban.,2 vagas
2084,R$ 108.000,"Centro, Bauru",160 m² tot.,2 quartos,1 banheiro,
2085,R$ 1.600.000,"Bauru, São Paulo",308 m² tot.,3 quartos,5 ban.,2 vagas
2086,R$ 2.090.000,"Bauru, São Paulo",420 m² tot.,3 quartos,5 ban.,2 vagas
2087,R$ 320.000,"Centro, Bauru",220 m² tot.,2 quartos,2 ban.,2 vagas
2088,R$ 500.000,"Bauru, São Paulo",543 m² tot.,3 quartos,4 ban.,3 vagas
2089,R$ 420.000,"Bauru, São Paulo",268 m² tot.,2 quartos,1 banheiro,2 vagas
2090,R$ 350.000,"Bauru, São Paulo",144 m² tot.,2 quartos,1 banheiro,2 vagas
2091,R$ 220.000,"Centro, Bauru",180 m² tot.,3 quartos,3 ban.,1 vaga
2092,R$ 220.000,"Tangarás, Bauru",142 m² tot.,3 quartos,2 ban.,2 vagas
2093,R$ 600.000,"Centro, Bauru",193 m² tot.,2 quartos,4 ban.,
2094,R$ 550.000,"Centro, Bauru",292 m² tot.,4 quartos,3 ban.,3 vagas
2095,R$ 350.000,"Centro, Bauru",286 m² tot.,4 quartos,2 ban.,2 vagas
2096,R$ 650.000,"Centro, Bauru",518 m² tot.,7 quartos,4 ban.,3 vagas
2097,R$ 700.000,"Centro, Bauru",400 m² tot.,3 quartos,4 ban.,4 vagas
2098,R$ 260.000,"Centro, Bauru",80 m² tot.,3 quartos,2 ban.,
2099,R$ 250.000,"Tangarás, Bauru",125 m² tot.,2 quartos,1 banheiro,2 vagas
2100,R$ 380.000,"Centro, Bauru",165 m² tot.,4 quartos,2 ban.,1 vaga
2101,R$ 350.000,"Centro, Bauru",220 m² tot.,3 quartos,1 banheiro,
2102,R$ 410.000,"Centro, Bauru",200 m² tot.,3 quartos,3 ban.,
2103,R$ 350.000,"Centro, Bauru",200 m² tot.,3 quartos,3 ban.,1 vaga
2104,R$ 699.000,"Centro, Bauru",400 m² tot.,8 quartos,3 ban.,6 vagas
2105,R$ 650.000,"Centro, Bauru",400 m² tot.,3 quartos,5 ban.,4 vagas
2106,R$ 390.000,"Tangarás, Bauru",305 m² tot.,2 quartos,1 banheiro,2 vagas
2107,R$ 280.000,"Madureira, Bauru",120 m² tot.,2 quartos,1 banheiro,1 vaga
2108,R$ 295.000,"Tangarás, Bauru",180 m² tot.,2 quartos,1 banheiro,2 vagas
2109,R$ 350.000,"Tangarás, Bauru",288 m² tot.,3 quartos,2 ban.,4 vagas
2110,R$ 1.200.000,"Centro, Bauru",288 m² tot.,2 quartos,1 banheiro,
2111,R$ 425.000,"Centro, Bauru",143 m² tot.,3 quartos,4 ban.,
2112,R$ 2.300.000,"Bauru, São Paulo",420 m² tot.,3 quartos,5 ban.,3 vagas
2113,R$ 1.300.000,"Bauru, São Paulo",360 m² tot.,3 quartos,3 ban.,
2114,R$ 2.400.000,"Bauru, São Paulo",420 m² tot.,3 quartos,5 ban.,4 vagas
2115,R$ 65.541,"Tangarás, Bauru",189 m² tot.,1 quarto,1 banheiro,1 vaga
2116,R$ 74.379,"Tangarás, Bauru",157 m² tot.,2 quartos,1 banheiro,
2117,R$ 210.000,"Bauru, São Paulo",61 m² tot.,3 quartos,1 banheiro,1 vaga
2118,R$ 480.000,"Bauru, São Paulo",224 m² tot.,2 quartos,2 ban.,
2119,R$ 3.900.000,"Bauru, São Paulo",710 m² tot.,5 quartos,7 ban.,3 vagas
2120,R$ 2.300.000,"Bauru, São Paulo",420 m² tot.,3 quartos,5 ban.,2 vagas
2121,R$ 2.100.000,"Bauru, São Paulo",420 m² tot.,3 quartos,,4 vagas
2122,R$ 1.799.680,"Bauru, São Paulo",360 m² tot.,3 quartos,4 ban.,2 vagas
2123,R$ 1.998.000,"Bauru, São Paulo",525 m² tot.,4 quartos,,6 vagas
2124,R$ 3.199.370,"Bauru, São Paulo",447 m² tot.,4 quartos,6 ban.,4 vagas
2125,R$ 1.400.000,"Bauru, São Paulo",450 m² tot.,3 quartos,4 ban.,2 vagas
2126,R$ 770.000,"Bauru, São Paulo",241 m² tot.,3 quartos,3 ban.,
2127,R$ 2.500.000,"Bauru, São Paulo",470 m² tot.,3 quartos,5 ban.,3 vagas
2128,R$ 1.750.000,"Bauru, São Paulo",378 m² tot.,3 quartos,3 ban.,3 vagas
2129,R$ 350.000,"Bauru, São Paulo",203 m² tot.,3 quartos,2 ban.,4 vagas
2130,R$ 770.000,"Bauru, São Paulo",241 m² tot.,3 quartos,3 ban.,
2131,R$ 1.750.000,"Bauru, São Paulo",378 m² tot.,3 quartos,3 ban.,3 vagas
2132,R$ 350.000,"Bauru, São Paulo",203 m² tot.,3 quartos,2 ban.,4 vagas
2133,R$ 1.800.000,"Bauru, São Paulo",360 m² tot.,3 quartos,5 ban.,4 vagas
2134,R$ 400.000,"Centro, Bauru",242 m² tot.,3 quartos,2 ban.,
2135,R$ 500.000,"Bauru, São Paulo",400 m² tot.,2 quartos,3 ban.,
2136,R$ 1.700.000,"Bauru, São Paulo",360 m² tot.,3 quartos,4 ban.,4 vagas
2137,R$ 400.000,"Bauru, São Paulo",144 m² tot.,3 quartos,2 ban.,
2138,R$ 800.000,"Centro, Bauru",250 m² tot.,5 quartos,3 ban.,
2139,R$ 500.000,"Bauru, São Paulo",230 m² tot.,2 quartos,2 ban.,2 vagas
2140,R$ 1.695.000,"Bauru, São Paulo",360 m² tot.,3 quartos,5 ban.,2 vagas
2141,R$ 2.400.000,"Bauru, São Paulo",360 m² tot.,3 quartos,5 ban.,2 vagas
2142,R$ 1.000.000,"Centro, Bauru",237 m² tot.,3 quartos,3 ban.,1 vaga
2143,R$ 780.000,"Bauru, São Paulo",198 m² tot.,3 quartos,4 ban.,3 vagas
2144,R$ 2.200.000,"Bauru, São Paulo",420 m² tot.,3 quartos,5 ban.,4 vagas
2145,R$ 750.000,"Bauru, São Paulo",276 m² tot.,3 quartos,3 ban.,4 vagas
2146,R$ 1.690.000,"Bauru, São Paulo",393 m² tot.,3 quartos,5 ban.,4 vagas
2147,R$ 450.000,"Centro, Duartina",400 m² tot.,4 quartos,3 ban.,2 vagas
2148,R$ 379.000,"Parque da Matriz, Cachoeirinha",200 m² tot.,3 quartos,1 banheiro,2 vagas
2149,R$ 800.000,"Vila Cardia, Bauru",242 m² tot.,4 quartos,4 ban.,2 vagas
2150,R$ 160.000,"Vila Pacífico, Bauru",360 m² tot.,2 quartos,3 ban.,1 vaga
2151,R$ 350.000,"Vila Pacífico, Bauru",260 m² tot.,3 quartos,3 ban.,3 vagas
2152,R$ 250.000,"Alto Higienópolis, Bauru",178 m² tot.,3 quartos,1 banheiro,1 vaga
2153,R$ 320.000,"Alto Higienópolis, Bauru",360 m² tot.,3 quartos,2 ban.,3 vagas
2154,R$ 339.000,"Alto Higienópolis, Bauru",127 m² tot.,3 quartos,3 ban.,2 vagas
2155,R$ 470.000,"Vila Giunta, Bauru",300 m² tot.,4 quartos,5 ban.,4 vagas
2156,R$ 1.200.000,"Jardim Estoril, Bauru",630 m² tot.,4 quartos,5 ban.,6 vagas
2157,R$ 1.600.000,"Jardim Colonial, Bauru",501 m² tot.,4 quartos,5 ban.,4 vagas
2158,R$ 195.000,"Parque Jaraguá, Bauru",125 m² tot.,2 quartos,2 ban.,2 vagas
2159,R$ 580.000,"Jardim América, Bauru",210 m² tot.,3 quartos,2 ban.,
2160,R$ 320.000,"Jardim Mendonça, Bauru",142 m² tot.,3 quartos,1 banheiro,1 vaga
2161,R$ 380.000,"Jardim Mendonça, Bauru",162 m² tot.,3 quartos,1 banheiro,2 vagas
2162,R$ 450.000,"Jardim Progresso, Bauru",200 m² tot.,3 quartos,2 ban.,2 vagas
2163,R$ 400.000,"Alto Higienópolis, Bauru",245 m² tot.,3 quartos,2 ban.,2 vagas
2164,R$ 530.000,"Vila Souto, Bauru",242 m² tot.,4 quartos,3 ban.,2 vagas
2165,R$ 450.000,"Vila Souto, Bauru",270 m² tot.,3 quartos,3 ban.,1 vaga
2166,R$ 1.099.000,"Quinta Ranieri, Bauru",360 m² tot.,3 quartos,5 ban.,2 vagas
2167,R$ 260.000,"Jardim Flórida, Bauru",137 m² tot.,2 quartos,2 ban.,2 vagas
2168,R$ 370.000,"Alto Higienópolis, Bauru",200 m² tot.,3 quartos,2 ban.,2 vagas
2169,R$ 950.000,"Vila Aviação, Bauru",200 m² tot.,3 quartos,2 ban.,2 vagas
2170,R$ 220.000,"Jardim Ivone, Bauru",135 m² tot.,2 quartos,2 ban.,2 vagas
2171,R$ 620.000,"Jardim América, Bauru",242 m² tot.,3 quartos,3 ban.,3 vagas
2172,R$ 400.000,"Alto Higienópolis, Bauru",216 m² tot.,3 quartos,3 ban.,4 vagas
2173,R$ 790.000,"Jardim América, Bauru",384 m² tot.,4 quartos,4 ban.,2 vagas
2174,R$ 425.000,"Alto Higienópolis, Bauru",200 m² tot.,4 quartos,2 ban.,3 vagas
2175,R$ 420.000,"Jardim Santana, Bauru",79 m² tot.,2 quartos,1 banheiro,2 vagas
2176,R$ 630.000,"Vila Camargo, Bauru",400 m² tot.,3 quartos,4 ban.,2 vagas
2177,R$ 460.000,"Alto Higienópolis, Bauru",242 m² tot.,3 quartos,3 ban.,2 vagas
2178,R$ 300.000,"Alto Higienópolis, Bauru",150 m² tot.,3 quartos,2 ban.,2 vagas
2179,R$ 495.000,"Alto Higienópolis, Bauru",180 m² tot.,4 quartos,2 ban.,1 vaga
2180,R$ 1.200.000,"Quinta Ranieri, Bauru",484 m² tot.,3 quartos,4 ban.,5 vagas
2181,R$ 990.000,"Vila Aviação, Bauru",196 m² tot.,3 quartos,4 ban.,2 vagas
2182,R$ 340.000,"Alto Higienópolis, Bauru",126 m² tot.,2 quartos,1 banheiro,2 vagas
2183,R$ 480.000,"Alto Higienópolis, Bauru",308 m² tot.,3 quartos,3 ban.,5 vagas
2184,R$ 270.000,"Jardim Helena, Bauru",132 m² tot.,2 quartos,1 banheiro,2 vagas
2185,R$ 600.000,"Quinta Ranieri, Bauru",360 m² tot.,2 quartos,2 ban.,2 vagas
2186,R$ 678.000,"Jardim Europa, Bauru",363 m² tot.,4 quartos,3 ban.,4 vagas
2187,R$ 200.000,"Parque Jaraguá, Bauru",150 m² tot.,3 quartos,1 banheiro,2 vagas
2188,R$ 290.000,"Parque Jaraguá, Bauru",125 m² tot.,2 quartos,2 ban.,2 vagas
2189,R$ 570.000,"Alto Higienópolis, Bauru",319 m² tot.,3 quartos,2 ban.,4 vagas
2190,R$ 249.000,"Vila Industrial, Bauru",168 m² tot.,2 quartos,1 banheiro,1 vaga
2191,R$ 1.100.000,"Quinta Ranieri, Bauru",360 m² tot.,3 quartos,3 ban.,2 vagas
2192,R$ 360.000,"Vila Industrial, Bauru",226 m² tot.,2 quartos,3 ban.,1 vaga
2193,R$ 460.000,"Vila Souto, Bauru",308 m² tot.,3 quartos,3 ban.,4 vagas
2194,R$ 480.000,"Vila Cardia, Bauru",280 m² tot.,3 quartos,3 ban.,2 vagas
2195,R$ 99.494,"Parque Jaraguá, Bauru",125 m² tot.,2 quartos,1 banheiro,
2196,R$ 78.549,"Vila Industrial, Bauru",210 m² tot.,2 quartos,1 banheiro,2 vagas
2197,R$ 1.390.000,"Quinta Ranieri, Bauru",546 m² tot.,3 quartos,4 ban.,4 vagas
2198,R$ 980.000,"Quinta Ranieri, Bauru",360 m² tot.,3 quartos,3 ban.,2 vagas
2199,R$ 450.000,"Vila Souto, Bauru",242 m² tot.,3 quartos,3 ban.,4 vagas
2200,R$ 340.000,"Vila Industrial, Bauru",200 m² tot.,3 quartos,1 banheiro,2 vagas
2201,R$ 695.000,"Vila Cardia, Bauru",484 m² tot.,3 quartos,3 ban.,4 vagas
2202,R$ 500.000,"Jardim Solange, Bauru",180 m² tot.,3 quartos,3 ban.,2 vagas
2203,R$ 460.000,"Vila Souto, Bauru",308 m² tot.,3 quartos,3 ban.,2 vagas
2204,R$ 1.100.000,"Quinta Ranieri, Bauru",360 m² tot.,3 quartos,5 ban.,4 vagas
2205,R$ 490.000,"Vila Industrial, Bauru",432 m² tot.,3 quartos,2 ban.,
2206,R$ 300.000,"Vila Souto, Bauru",152 m² tot.,3 quartos,2 ban.,2 vagas
2207,R$ 1.100.000,"Quinta Ranieri, Bauru",360 m² tot.,3 quartos,3 ban.,2 vagas
2208,R$ 485.000,"Jardim Solange, Bauru",184 m² tot.,3 quartos,2 ban.,3 vagas
2209,R$ 425.000,"Jardim Solange, Bauru",186 m² tot.,3 quartos,2 ban.,4 vagas
2210,R$ 950.000,"Vila Monlevade, Bauru",300 m² tot.,2 quartos,2 ban.,2 vagas
2211,R$ 800.000,"Vila Cardia, Bauru",242 m² tot.,4 quartos,4 ban.,2 vagas
2212,R$ 260.000,"Jardim Cecap, Bauru",165 m² tot.,3 quartos,1 banheiro,3 vagas
2213,R$ 900.000,"Jardim Aeroporto, Bauru",174 m² tot.,3 quartos,3 ban.,2 vagas
2214,R$ 280.000,"Jardim Helena, Bauru",131 m² tot.,3 quartos,3 ban.,3 vagas
2215,R$ 240.000,"Vila Rocha, Bauru",107 m² tot.,3 quartos,2 ban.,2 vagas
2216,R$ 200.000,"Jardim Ivone, Bauru",86 m² tot.,2 quartos,1 banheiro,2 vagas
2217,R$ 215.000,"Vila Dutra, Bauru",118 m² tot.,3 quartos,2 ban.,2 vagas
2218,R$ 2.200.000,"Vila Serrão, Bauru",755 m² tot.,5 quartos,6 ban.,3 vagas
2219,R$ 720.000,"Jardim Estoril, Bauru",193 m² tot.,3 quartos,3 ban.,2 vagas
2220,R$ 265.000,"Jardim América, Bauru",207 m² tot.,2 quartos,2 ban.,
2221,R$ 1.200.000,"Quinta Ranieri, Bauru",384 m² tot.,3 quartos,4 ban.,2 vagas
2222,R$ 580.000,"Alto Higienópolis, Bauru",274 m² tot.,4 quartos,3 ban.,2 vagas
2223,R$ 250.000,"Parque Jaraguá, Bauru",125 m² tot.,3 quartos,1 banheiro,1 vaga
2224,R$ 430.000,"Alto Higienópolis, Bauru",160 m² tot.,3 quartos,1 banheiro,3 vagas
2225,R$ 210.000,"Alto Higienópolis, Bauru",160 m² tot.,2 quartos,1 banheiro,1 vaga
2226,R$ 789.000,"Jardim Panorama, Bauru",336 m² tot.,3 quartos,4 ban.,2 vagas
2227,R$ 381.000,"Vila Independência, Bauru",216 m² tot.,4 quartos,2 ban.,3 vagas
2228,R$ 320.000,"Alto Higienópolis, Bauru",200 m² tot.,4 quartos,2 ban.,3 vagas
2229,R$ 288.000,"Alto Higienópolis, Bauru",200 m² tot.,2 quartos,2 ban.,4 vagas
2230,R$ 480.000,"Vila Coralina, Bauru",240 m² tot.,3 quartos,2 ban.,2 vagas
2231,R$ 1.750.000,"Alto Higienópolis, Bauru",294 m² tot.,3 quartos,5 ban.,2 vagas
2232,R$ 1.850.000,"Vila Santista, Bauru",360 m² tot.,3 quartos,4 ban.,4 vagas
2233,R$ 580.000,"Jardim Brasil, Bauru",242 m² tot.,3 quartos,2 ban.,4 vagas
2234,R$ 1.850.000,"Vila Aviação, Bauru",500 m² tot.,3 quartos,6 ban.,4 vagas
2235,R$ 650.000,"Alto Higienópolis, Bauru",484 m² tot.,3 quartos,3 ban.,5 vagas
2236,R$ 599.000,"Alto Higienópolis, Bauru",363 m² tot.,4 quartos,5 ban.,3 vagas
2237,R$ 650.000,"Jardim Marambá, Bauru",212 m² tot.,3 quartos,3 ban.,2 vagas
2238,R$ 1.900.000,"Alto Higienópolis, Bauru",420 m² tot.,3 quartos,5 ban.,2 vagas
2239,R$ 650.000,"Alto Higienópolis, Bauru",300 m² tot.,2 quartos,2 ban.,4 vagas
2240,R$ 210.000,"Alto Higienópolis, Bauru",180 m² tot.,1 quarto,1 banheiro,1 vaga
2241,R$ 240.000,"Alto Higienópolis, Bauru",247 m² tot.,3 quartos,2 ban.,4 vagas
2242,R$ 800.000,"Vila Aviação, Bauru",200 m² tot.,3 quartos,1 banheiro,2 vagas
2243,R$ 1.100.000,"Jardim América, Bauru",242 m² tot.,4 quartos,4 ban.,4 vagas
2244,R$ 500.000,"Vila Noemy, Bauru",182 m² tot.,5 quartos,4 ban.,
2245,R$ 900.000,"Jardim Estoril, Bauru",398 m² tot.,2 quartos,3 ban.,2 vagas
2246,R$ 700.000,"Alto Higienópolis, Bauru",318 m² tot.,4 quartos,2 ban.,2 vagas
2247,R$ 850.000,"Alto Higienópolis, Bauru",660 m² tot.,3 quartos,4 ban.,4 vagas
2248,R$ 1.700.000,"Jardim América, Bauru",745 m² tot.,4 quartos,8 ban.,4 vagas
