,precos,bairros,tamanhos,quartos,banheiros,vagas
146,R$ 379.750,"Vila Cardia, Bauru",,1 quarto,1 banheiro,1 vaga
147,R$ 240.000,"Vila Rocha, Bauru",284 m² tot.,3 quartos,2 ban.,2 vagas
148,R$ 438.460,"Vila Falcão, Bauru",484 m² tot.,4 quartos,3 ban.,1 vaga
149,R$ 6.990.000,"Pacaembu, São Paulo",1100 m² tot.,4 quartos,6 ban.,4 vagas
150,R$ 430.000,"Parque Val de Palmas, Bauru",4000 m² tot.,3 quartos,2 ban.,20 vagas
151,R$ 330.000,"Jardim Cruzeiro do Sul, Bauru",181 m² tot.,2 quartos,2 ban.,3 vagas
152,R$ 450.000,"Jardim Bela Vista, Bauru",380 m² tot.,3 quartos,4 ban.,4 vagas
153,R$ 470.000,"Vila São Francisco, Bauru",322 m² tot.,2 quartos,4 ban.,3 vagas
154,R$ 1.900.000,"Jardim Amália, Bauru",680 m² tot.,5 quartos,6 ban.,4 vagas
155,R$ 380.000,"Vila Pacífico, Bauru",230 m² tot.,3 quartos,2 ban.,2 vagas
156,R$ 890.000,"Vila Aviação, Bauru",363 m² tot.,5 quartos,2 ban.,3 vagas
157,R$ 390.000,"Vila São João do Ipiranga, Bauru",181 m² tot.,3 quartos,2 ban.,4 vagas
158,R$ 2.350.000,"Jardim Shangri-Lá, Bauru",6000 m² tot.,5 quartos,5 ban.,4 vagas
159,R$ 800.000,"Residencial Francisco Lemos de Almeida, Bauru",300 m² tot.,3 quartos,4 ban.,2 vagas
160,R$ 900.000,"Baeta Neves, São Bernardo do Campo",198 m² tot.,3 quartos,3 ban.,2 vagas
161,R$ 795.000,"Jardim do Lago, Atibaia",230 m² tot.,3 quartos,3 ban.,2 vagas
162,R$ 250.000,"Vila São Paulo, Itanhaém",330 m² tot.,3 quartos,2 ban.,5 vagas
163,R$ 290.000,"Vila São João da Boa Vista, Bauru",131 m² tot.,3 quartos,2 ban.,2 vagas
164,R$ 296.000,"Centro, Barra Bonita",190 m² tot.,3 quartos,2 ban.,
165,R$ 800.000,"Jardim Haydee, Mauá",125 m² tot.,3 quartos,2 ban.,2 vagas
166,R$ 795.000,"Jardim do Lago, Atibaia",190 m² tot.,3 quartos,3 ban.,2 vagas
167,R$ 1.170.000,"Baeta Neves, São Bernardo do Campo",225 m² tot.,3 quartos,5 ban.,5 vagas
168,R$ 4.100.000,"Alto Higienópolis, Bauru",452 m² tot.,4 quartos,4 ban.,2 vagas
169,R$ 400.000,"Parque Hipódromo, Bauru",242 m² tot.,2 quartos,2 ban.,2 vagas
170,R$ 295.000,"Jardim Chapadão, Bauru",125 m² tot.,2 quartos,2 ban.,1 vaga
171,R$ 1.700.000,"Chácaras Cornélia, Bauru",2775 m² tot.,5 quartos,4 ban.,10 vagas
172,R$ 380.000,"Parque Paulista, Bauru",135 m² tot.,3 quartos,2 ban.,2 vagas
173,R$ 250.000,"Vila Dutra, Bauru",184 m² tot.,3 quartos,2 ban.,1 vaga
174,R$ 265.000,"Parque City, Bauru",275000 m² tot.,3 quartos,2 ban.,3 vagas
175,R$ 2.500.000,"Alto Higienópolis, Bauru",420 m² tot.,3 quartos,5 ban.,2 vagas
176,R$ 1.500.000,"Quinta Ranieri, Bauru",360 m² tot.,3 quartos,5 ban.,4 vagas
177,R$ 589.000,"Jardim Marília, Bauru",480 m² tot.,8 quartos,4 ban.,3 vagas
178,R$ 530.000,"Jardim Solange, Bauru",118 m² tot.,2 quartos,2 ban.,2 vagas
179,R$ 370.000,"Pousada da Esperança II, Bauru",253 m² tot.,2 quartos,3 ban.,2 vagas
180,R$ 350.000,"Parque Santa Edwiges, Bauru",130 m² tot.,3 quartos,1 banheiro,2 vagas
181,R$ 340.000,"Núcleo Residencial Perdizes, Bauru",200 m² tot.,3 quartos,2 ban.,3 vagas
182,R$ 430.000,"Parque Júlio Nóbrega, Bauru",251 m² tot.,3 quartos,2 ban.,2 vagas
183,R$ 370.000,"Pousada da Esperança II, Bauru",253 m² tot.,2 quartos,2 ban.,5 vagas
184,R$ 220.000,"Pousada da Esperança II, Bauru",126 m² tot.,2 quartos,1 banheiro,2 vagas
185,R$ 300.000,"Parque São João, Bauru",132 m² tot.,2 quartos,2 ban.,2 vagas
186,R$ 470.000,"Parque Santa Edwiges, Bauru",360 m² tot.,3 quartos,2 ban.,4 vagas
187,R$ 350.000,"Distrito Industrial Domingos Biancardi, Bauru",143 m² tot.,3 quartos,1 banheiro,2 vagas
