,Unnamed: 0,precos,tamanhos,quartos,banheiros,vagas,bairros_preco_medio
2806,2806,1800000.0,525.0,3.0,5.0,6.0,1633333.3333333333
2807,2807,150000.0,182.0,1.0,1.0,3.014705882352941,465320.0
2808,2808,350000.0,230.0,3.0,2.0,2.1818181818181817,464769.67647058825
2809,2809,850000.0,600.0,3.0,5.0,3.5357142857142856,688650.3333333334
2810,2810,2380000.0,500.0,4.0,6.0,2.0,1621261.4285714286
2811,2811,1250000.0,360.0,3.0,5.0,2.0,1127828.611111111
2812,2812,990000.0,330.0,3.0,4.0,3.0,1286197.4576271186
2813,2813,600000.0,360.0,3.0,3.0,3.0,464769.67647058825
2814,2814,1600000.0,450.0,3.0,4.0,4.0,1286197.4576271186
2815,2815,1300000.0,384.0,3.0,5.0,4.0,1127828.611111111
2816,2816,1500000.0,330.0,4.0,5.0,4.0,902439.8648648649
2817,2817,530000.0,220.0,3.0,3.0,2.0,698659.0476190476
2818,2818,280000.0,195.0,1.0,1.0,2.388235294117647,379047.125
2819,2819,850000.0,330.0,3.0,3.0,3.0,1286197.4576271186
2820,2820,1500000.0,360.0,5.0,5.0,4.0,1127828.611111111
2821,2821,1890000.0,360.0,4.0,6.0,2.0,1621261.4285714286
2822,2822,795000.0,380.0,3.0,4.0,6.0,698659.0476190476
2823,2823,900000.0,550.0,3.0,5.0,4.0,581092.9411764706
2824,2824,1500000.0,400.0,4.0,8.0,4.0,2081936.3636363635
2825,2825,2100000.0,420.0,3.0,5.0,4.0,2285020.649350649
2826,2826,380000.0,150.0,3.0,2.0,2.0,376334.8387096774
2827,2827,750000.0,374.0,3.0,3.0,4.0,1286197.4576271186
2828,2828,800000.0,146.0,3.0,2.0,3.3333333333333335,902439.8648648649
2829,2829,1500000.0,360.0,3.0,4.0,4.0,2285020.649350649
2830,2830,1650000.0,700.0,3.0,5.0,3.0,2081936.3636363635
2831,2831,1060000.0,500.0,4.0,3.0,8.0,986906.7307692308
2832,2832,84892.0,125.0,1.0,1.0,2.125,328831.45454545453
2833,2833,255000.0,65.0,2.0,1.0,2.0,224029.3777777778
2834,2834,430000.0,192.0,2.0,2.0,2.0,379047.125
2835,2835,1500000.0,223.0,3.0,5.0,2.0,1127828.611111111
2836,2836,450000.0,22.0,3.0,1.0,2.0,516538.19444444444
2837,2837,325000.0,144.0,2.0,1.0,1.0,379047.125
2838,2838,1500000.0,360.0,3.0,5.0,2.0,1127828.611111111
2839,2839,450000.0,153.0,3.0,2.0,2.0,379047.125
2840,2840,461000.0,180.0,3.0,3.0,2.0,379047.125
2841,2841,450000.0,122.0,3.0,4.0,3.0,465320.0
2842,2842,480000.0,159.0,3.0,3.0,2.0,849839.4
2843,2843,670000.0,180.0,3.0,3.0,2.0,516538.19444444444
2844,2844,350000.0,148.0,2.0,2.0,2.0,379047.125
2845,2845,290000.0,125.0,2.0,2.0,2.0,224029.3777777778
2846,2846,325000.0,144.0,2.0,1.0,3.0,379047.125
2847,2847,615000.0,236.0,3.0,3.0,2.0,622106.0416666666
2848,2848,250000.0,200.0,3.0,2.0,1.0,396190.0
2849,2849,400000.0,150.0,3.0,1.0,2.0,506066.44444444444
2850,2850,315000.0,200.0,2.0,2.0,2.0,302072.14285714284
2851,2851,265000.0,200.0,2.0,2.0,2.0,277017.14285714284
2852,2852,520000.0,181.0,3.0,3.0,2.0,461814.44444444444
2853,2853,250000.0,200.0,3.0,2.0,1.0,396190.0
2854,2854,590000.0,360.0,3.0,3.0,2.0,563572.6315789474
2855,2855,980000.0,300.0,4.0,5.0,4.0,1295663.5714285714
2856,2856,57714.0,180.0,1.0,1.0,1.0,124703.83333333333
2857,2857,235000.0,132.0,1.0,2.0,2.0,374015.45454545453
2858,2858,360000.0,200.0,3.0,3.0,2.0,302072.14285714284
2859,2859,980000.0,284.0,3.0,5.0,4.0,1295663.5714285714
2860,2860,380000.0,300.0,2.0,2.0,5.0,468388.48484848486
2861,2861,250000.0,204.0,2.0,2.0,2.0,359570.0
2862,2862,490000.0,180.0,3.0,2.0,2.5161290322580645,424763.9090909091
2863,2863,350000.0,200.0,3.0,2.0,3.0,272916.4285714286
2864,2864,1100000.0,368.0,3.0,2.0,5.0,550146.1224489796
2865,2865,340000.0,140.0,3.0,2.0,2.0,400110.1818181818
2866,2866,750000.0,250.0,3.0,3.0,2.0,911629.2307692308
2867,2867,75508.0,150.0,1.0,1.0,2.0,263843.375
2868,2868,480000.0,218.0,3.0,2.0,2.0,550146.1224489796
2869,2869,300000.0,67.0,2.0,2.0,2.0,263843.375
2870,2870,81964.0,209.0,1.0,1.0,2.6470588235294117,283525.65853658534
2871,2871,350000.0,84.0,2.0,1.0,2.0,396190.0
2872,2872,57891.0,126.0,1.0,1.0,1.8235294117647058,181915.88
2873,2873,100741.0,168.0,2.0,1.0,1.0,124703.83333333333
2874,2874,300000.0,88.0,2.0,2.0,2.0,415415.11627906974
2875,2875,129948.0,160.0,2.0,1.0,2.5,240259.5
2876,2876,290000.0,258.0,1.0,1.0,2.0,415415.11627906974
2877,2877,700000.0,400.0,3.0,3.0,4.0,550146.1224489796
2878,2878,300000.0,300.0,2.0,1.0,1.0,350808.51851851854
2879,2879,290000.0,160.0,4.0,4.0,3.0,302072.14285714284
2881,2881,320000.0,250.0,3.0,2.6666666666666665,4.0,337500.0
2882,2882,150000.0,90.0,2.0,1.0,2.0,181915.88
2883,2883,220000.0,100.0,2.0,1.0,1.8235294117647058,181915.88
2884,2884,160000.0,80.0,3.0,1.0,1.0,259549.0
2885,2885,280000.0,89.0,3.0,1.0,3.0,415415.11627906974
2886,2886,270000.0,160000.0,4.0,3.0,2.0,359570.0
2887,2887,330000.0,115.0,3.0,1.0,2.0,400110.1818181818
2888,2888,400000.0,150.0,3.0,1.0,2.0,506066.44444444444
2889,2889,220000.0,160.0,3.0,2.0,1.0,343682.5
2890,2890,560000.0,180.0,3.0,4.0,2.0,622106.0416666666
2891,2891,320000.0,130.0,3.0,2.0,3.0,520996.43209876545
2892,2892,570000.0,484.0,3.0,4.0,4.0,415415.11627906974
2893,2893,900000.0,343.0,3.0,4.0,3.0,415415.11627906974
2894,2894,1200000.0,268.0,4.0,3.0,2.0,396190.0
2895,2895,390000.0,250.0,3.0,2.0,3.0,487177.2727272727
2896,2896,175022.0,162.0,2.0,2.0,1.0,283525.65853658534
2897,2897,284770.0,319.0,2.0,2.0,2.0,350224.28571428574
2898,2898,210000.0,100.0,4.0,2.0,2.0,396190.0
2899,2899,180000.0,60.0,1.0,1.0,1.0,180000.0
2900,2900,500000.0,363.0,4.0,1.0,3.0,366273.25
2901,2901,175000.0,70.0,2.0,1.0,2.0,236919.0
2902,2902,550000.0,250.0,3.0,4.0,2.0,400110.1818181818
